Tue Jul 17 10:43:29 2018; ******** IP traffic monitor started ********
Tue Jul 17 10:43:29 2018; TCP; eth0; 356 bytes; from 10.0.2.15:22 to 10.0.2.2:57756; first packet
Tue Jul 17 10:44:10 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:11 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:11 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:12 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:12 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:13 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:13 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:14 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:14 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:15 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:15 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:16 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:16 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:17 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:17 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:18 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:18 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:19 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:19 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:20 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:20 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:21 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:21 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:22 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:22 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:23 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:23 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:24 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:24 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:25 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:25 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:26 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:26 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:27 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:27 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:28 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:28 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:29 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:29 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:30 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:30 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:31 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:31 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:32 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:32 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:33 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:33 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:34 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:34 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:35 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:35 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:36 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:36 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:37 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:37 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:38 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:38 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:39 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:39 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:40 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:40 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:41 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:41 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:42 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:42 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:43 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:43 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:44 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:44 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:45 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:45 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:46 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:46 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:47 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:47 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:48 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:48 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:49 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:49 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:50 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:50 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:51 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:51 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:52 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:52 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:53 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:53 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:54 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:54 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:55 2018; UDP; eth0; 67 bytes; from 10.0.2.15:33291 to 10.0.2.3:53
Tue Jul 17 10:44:55 2018; UDP; eth0; 67 bytes; from 10.0.2.15:33291 to 10.0.2.3:53
Tue Jul 17 10:44:55 2018; UDP; eth0; 67 bytes; from 10.0.2.3:53 to 10.0.2.15:33291
Tue Jul 17 10:44:55 2018; UDP; eth0; 67 bytes; from 10.0.2.3:53 to 10.0.2.15:33291
Tue Jul 17 10:44:55 2018; UDP; eth0; 52 bytes; from 10.0.2.15:37866 to 10.0.2.3:53
Tue Jul 17 10:44:55 2018; UDP; eth0; 52 bytes; from 10.0.2.15:37866 to 10.0.2.3:53
Tue Jul 17 10:44:55 2018; UDP; eth0; 52 bytes; from 10.0.2.3:53 to 10.0.2.15:37866
Tue Jul 17 10:44:55 2018; UDP; eth0; 52 bytes; from 10.0.2.3:53 to 10.0.2.15:37866
Tue Jul 17 10:44:55 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:55 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:56 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:56 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:57 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:57 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:58 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:58 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:44:59 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:44:59 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:00 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:00 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:01 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:01 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:02 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:03 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:04 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:05 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:06 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:06 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:07 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:07 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:08 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:08 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:09 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:09 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:10 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:10 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:11 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:11 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:12 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:12 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:13 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:13 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:14 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:14 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:15 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:15 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:16 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:16 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:17 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:17 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:18 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:18 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:19 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:19 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:20 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:20 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:21 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:21 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:22 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:22 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:23 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:23 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:24 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:24 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:25 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:25 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:26 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:26 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:27 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:27 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:28 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:28 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:29 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:29 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:30 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:30 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:31 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:31 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:32 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:32 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:33 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:33 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:34 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:34 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:35 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:35 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:36 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:36 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:37 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:37 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:38 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:38 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:39 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:39 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:40 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:40 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:41 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:41 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:42 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:42 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:43 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:43 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:44 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:44 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:45 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:45 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:46 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:46 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:47 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:47 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:48 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:48 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:49 2018; ICMP; eth0; 84 bytes; from 10.0.2.15 to 216.58.211.110; echo req
Tue Jul 17 10:45:49 2018; ICMP; eth0; 84 bytes; from 216.58.211.110 to 10.0.2.15; echo rply
Tue Jul 17 10:45:50 2018; ******** IP traffic monitor stopped ********

